תאריך,לקוח,סכום,מטבע,אמצעי תשלום,קטגוריה,קישור
2026-01-01,"לקוח א' בע""מ",5200,ILS,העברה בנקאית,שירותי ייעוץ,https://storage.googleapis.com/demo-bucket-invoices/2026-001.pdf
2026-01-16,לקוח ב' - עסק פרטי,3800,ILS,מזומן,פיתוח תוכנה,https://storage.googleapis.com/demo-bucket-invoices/2026-002.pdf
2026-02-01,חברה ג' לטכנולוגיה,2400,ILS,כרטיס אשראי,תחזוקה שוטפת,https://storage.googleapis.com/demo-bucket-invoices/2026-003.pdf
2026-02-17,לקוח ד' - פרילנסר,1900,ILS,מזומן,עיצוב גרפי,https://storage.googleapis.com/demo-bucket-invoices/2026-004.pdf
2026-03-05,עסק ה' - חנות אינטרנט,4200,ILS,העברה בנקאית,פיתוח אתר,https://storage.googleapis.com/demo-bucket-invoices/2026-005.pdf
2026-03-21,לקוח ו' - סטארטאפ,3200,ILS,העברה בנקאית,ייעוץ טכני,https://storage.googleapis.com/demo-bucket-invoices/2026-006.pdf
2026-04-05,חברה ז' למסחר,1550,ILS,כרטיס אשראי,אינטגרציה,https://storage.googleapis.com/demo-bucket-invoices/2026-007.pdf
2026-04-21,לקוח ח' - משרד עורכי דין,2800,ILS,מזומן,ניהול מערכות,https://storage.googleapis.com/demo-bucket-invoices/2026-008.pdf
2026-05-07,עסק ט' - מסעדה,1200,ILS,צ'ק,מערכת הזמנות,https://storage.googleapis.com/demo-bucket-invoices/2026-009.pdf
2026-05-23,"לקוח י' בע""מ",3500,ILS,העברה בנקאית,אפליקציה ניידת,https://storage.googleapis.com/demo-bucket-invoices/2026-010.pdf
2026-06-08,חברה יא' - קמעונאות,2100,ILS,מזומן,בדיקות איכות,https://storage.googleapis.com/demo-bucket-invoices/2026-011.pdf
2026-06-24,לקוח יב' - תעשייה,4800,ILS,העברה בנקאית,אוטומציה,https://storage.googleapis.com/demo-bucket-invoices/2026-012.pdf
2026-07-09,עסק יג' - בריאות,2600,ILS,מזומן,מערכת ניהול,https://storage.googleapis.com/demo-bucket-invoices/2026-013.pdf
2026-07-25,לקוח יד' - חינוך,1800,ILS,כרטיס אשראי,פלטפורמת למידה,https://storage.googleapis.com/demo-bucket-invoices/2026-014.pdf
2026-08-10,חברה טו' - לוגיסטיקה,3800,ILS,העברה בנקאית,מעקב משלוחים,https://storage.googleapis.com/demo-bucket-invoices/2026-015.pdf
2026-08-26,לקוח טז' - תיירות,1450,ILS,מזומן,אתר הזמנות,https://storage.googleapis.com/demo-bucket-invoices/2026-016.pdf
2026-09-11,עסק יז' - אופנה,2200,ILS,מזומן,חנות מקוונת,https://storage.googleapis.com/demo-bucket-invoices/2026-017.pdf
2026-09-27,"לקוח יח' - נדל""ן",3600,ILS,העברה בנקאית,מערכת CRM,https://storage.googleapis.com/demo-bucket-invoices/2026-018.pdf
2026-10-12,חברה יט' - פיננסים,4500,ILS,העברה בנקאית,דוחות פיננסיים,https://storage.googleapis.com/demo-bucket-invoices/2026-019.pdf
2026-10-28,לקוח כ' - תקשורת,2900,ILS,מזומן,ניהול מדיה,https://storage.googleapis.com/demo-bucket-invoices/2026-020.pdf
2026-11-13,עסק כא' - ספורט,1750,ILS,מזומן,אפליקציית כושר,https://storage.googleapis.com/demo-bucket-invoices/2026-021.pdf
2026-11-29,לקוח כב' - אנרגיה,3300,ILS,מזומן,ניטור מערכות,https://storage.googleapis.com/demo-bucket-invoices/2026-022.pdf
2026-12-15,חברה כג' - רכב,350,ILS,מזומן,תיקון באג,https://storage.googleapis.com/demo-bucket-invoices/2026-023.pdf
