תאריך,לקוח,סכום,מטבע,אמצעי תשלום,קטגוריה,קישור
2026-01-01,Google Cloud Platform,4500,ILS,כרטיס אשראי,שירותי ענן,https://storage.googleapis.com/demo-bucket-invoices/EXP-001.pdf
2026-01-25,משרד רואה חשבון,3200,ILS,העברה בנקאית,שירותים מקצועיים,https://storage.googleapis.com/demo-bucket-invoices/EXP-002.pdf
2026-02-18,Office Depot,850,ILS,כרטיס אשראי,ציוד משרדי,https://storage.googleapis.com/demo-bucket-invoices/EXP-003.pdf
2026-03-14,חברת חשמל,650,ILS,העברה בנקאית,חשבונות,https://storage.googleapis.com/demo-bucket-invoices/EXP-004.pdf
2026-04-08,GitHub Enterprise,1800,USD,כרטיס אשראי,תוכנה,https://storage.googleapis.com/demo-bucket-invoices/EXP-005.pdf
2026-05-02,משרד עורך דין,4200,ILS,העברה בנקאית,שירותים משפטיים,https://storage.googleapis.com/demo-bucket-invoices/EXP-006.pdf
2026-05-26,LinkedIn Premium,350,ILS,כרטיס אשראי,שיווק,https://storage.googleapis.com/demo-bucket-invoices/EXP-007.pdf
2026-06-19,בזק בינלאומי,450,ILS,העברה בנקאית,תקשורת,https://storage.googleapis.com/demo-bucket-invoices/EXP-008.pdf
2026-07-14,Adobe Creative Cloud,1000,USD,כרטיס אשראי,תוכנה,https://storage.googleapis.com/demo-bucket-invoices/EXP-009.pdf
2026-08-07,משלוח ארוחות,950,ILS,מזומן,אירוח,https://storage.googleapis.com/demo-bucket-invoices/EXP-010.pdf
2026-08-31,AWS,850,EUR,כרטיס אשראי,שירותי ענן,https://storage.googleapis.com/demo-bucket-invoices/EXP-011.pdf
2026-09-24,חניון חודשי,700,ILS,מזומן,תחבורה,https://storage.googleapis.com/demo-bucket-invoices/EXP-012.pdf
2026-10-19,Zoom Pro,550,ILS,כרטיס אשראי,תוכנה,https://storage.googleapis.com/demo-bucket-invoices/EXP-013.pdf
2026-11-12,ביטוח לאומי,3600,ILS,העברה בנקאית,ביטוח,https://storage.googleapis.com/demo-bucket-invoices/EXP-014.pdf
2026-12-06,ניקיון משרדים,250,ILS,כרטיס אשראי,תחזוקה,https://storage.googleapis.com/demo-bucket-invoices/EXP-015.pdf
