תאריך,לקוח,סכום,מטבע,אמצעי תשלום,קטגוריה,קישור
2026-01-02,Google Cloud Platform,4500,ILS,כרטיס אשראי,שירותי ענן,https://drive.google.com/file/d/xxx
2026-01-05,משרד רואה חשבון,3200,ILS,העברה בנקאית,שירותים מקצועיים,https://drive.google.com/file/d/xxx
2026-01-07,Office Depot,850,ILS,כרטיס אשראי,ציוד משרדי,https://drive.google.com/file/d/xxx
2026-01-10,חברת חשמל,650,ILS,העברה בנקאית,חשבונות,https://drive.google.com/file/d/xxx
2026-01-12,GitHub Enterprise,1800,USD,כרטיס אשראי,תוכנה,https://drive.google.com/file/d/xxx
2026-01-15,משרד עורך דין,4200,ILS,העברה בנקאית,שירותים משפטיים,https://drive.google.com/file/d/xxx
2026-01-17,LinkedIn Premium,350,ILS,כרטיס אשראי,שיווק,https://drive.google.com/file/d/xxx
2026-01-19,בזק בינלאומי,450,ILS,העברה בנקאית,תקשורת,https://drive.google.com/file/d/xxx
2026-01-21,Adobe Creative Cloud,1000,USD,כרטיס אשראי,תוכנה,https://drive.google.com/file/d/xxx
2026-01-23,משלוח ארוחות,950,ILS,מזומן,אירוח,https://drive.google.com/file/d/xxx
2026-01-25,AWS,850,EUR,כרטיס אשראי,שירותי ענן,https://drive.google.com/file/d/xxx
2026-01-27,חניון חודשי,700,ILS,מזומן,תחבורה,https://drive.google.com/file/d/xxx
2026-01-28,Zoom Pro,550,ILS,כרטיס אשראי,תוכנה,https://drive.google.com/file/d/xxx
2026-01-30,ביטוח לאומי,3600,ILS,העברה בנקאית,ביטוח,https://drive.google.com/file/d/xxx
2026-01-31,ניקיון משרדים,250,ILS,כרטיס אשראי,תחזוקה,https://drive.google.com/file/d/xxx
