תאריך,לקוח,סכום,מטבע,אמצעי תשלום,קטגוריה,קישור
2026-01-03,"לקוח א' בע""מ",5200,ILS,העברה בנקאית,שירותי ייעוץ,https://drive.google.com/file/d/xxx
2026-01-05,לקוח ב' - עסק פרטי,3800,ILS,מזומן,פיתוח תוכנה,https://drive.google.com/file/d/xxx
2026-01-08,חברה ג' לטכנולוגיה,2400,ILS,כרטיס אשראי,תחזוקה שוטפת,https://drive.google.com/file/d/xxx
2026-01-10,לקוח ד' - פרילנסר,1900,ILS,מזומן,עיצוב גרפי,https://drive.google.com/file/d/xxx
2026-01-12,עסק ה' - חנות אינטרנט,4200,ILS,העברה בנקאית,פיתוח אתר,https://drive.google.com/file/d/xxx
2026-01-15,לקוח ו' - סטארטאפ,3200,ILS,העברה בנקאית,ייעוץ טכני,https://drive.google.com/file/d/xxx
2026-01-17,חברה ז' למסחר,1550,ILS,כרטיס אשראי,אינטגרציה,https://drive.google.com/file/d/xxx
2026-01-19,לקוח ח' - משרד עורכי דין,2800,ILS,מזומן,ניהול מערכות,https://drive.google.com/file/d/xxx
2026-01-22,עסק ט' - מסעדה,1200,ILS,צ'ק,מערכת הזמנות,https://drive.google.com/file/d/xxx
2026-01-24,"לקוח י' בע""מ",3500,ILS,העברה בנקאית,אפליקציה ניידת,https://drive.google.com/file/d/xxx
2026-01-26,חברה יא' - קמעונאות,2100,ILS,מזומן,בדיקות איכות,https://drive.google.com/file/d/xxx
2026-01-28,לקוח יב' - תעשייה,4800,ILS,העברה בנקאית,אוטומציה,https://drive.google.com/file/d/xxx
2026-01-29,עסק יג' - בריאות,2600,ILS,מזומן,מערכת ניהול,https://drive.google.com/file/d/xxx
2026-01-30,לקוח יד' - חינוך,1800,ILS,כרטיס אשראי,פלטפורמת למידה,https://drive.google.com/file/d/xxx
2026-01-31,חברה טו' - לוגיסטיקה,3800,ILS,העברה בנקאית,מעקב משלוחים,https://drive.google.com/file/d/xxx
2026-01-07,לקוח טז' - תיירות,1450,ILS,מזומן,אתר הזמנות,https://drive.google.com/file/d/xxx
2026-01-09,עסק יז' - אופנה,2200,ILS,מזומן,חנות מקוונת,https://drive.google.com/file/d/xxx
2026-01-13,"לקוח יח' - נדל""ן",3600,ILS,העברה בנקאית,מערכת CRM,https://drive.google.com/file/d/xxx
2026-01-16,חברה יט' - פיננסים,4500,ILS,העברה בנקאית,דוחות פיננסיים,https://drive.google.com/file/d/xxx
2026-01-20,לקוח כ' - תקשורת,2900,ILS,מזומן,ניהול מדיה,https://drive.google.com/file/d/xxx
2026-01-23,עסק כא' - ספורט,1750,ILS,מזומן,אפליקציית כושר,https://drive.google.com/file/d/xxx
2026-01-27,לקוח כב' - אנרגיה,3300,ILS,מזומן,ניטור מערכות,https://drive.google.com/file/d/xxx
2026-01-31,חברה כג' - רכב,350,ILS,מזומן,תיקון באג,https://drive.google.com/file/d/xxx
